Date	Unit Count	Order Count	Sales
2024-09-12	1	1	24.99
2024-09-13	2	2	49.98
2024-09-14	0	0	0.0
2024-09-15	0	0	0.0
2024-09-16	3	3	74.97
2024-09-17	4	2	99.96
2024-09-18	2	2	49.98
2024-09-19	0	0	0.0
2024-09-20	1	1	24.99
2024-09-21	2	2	49.98
2024-09-22	2	2	49.98
2024-09-23	1	1	24.99
2024-09-24	4	3	99.96
2024-09-25	8	4	199.92
