Date	Unit Count	Order Count	Sales
2024-07-30	10	10	249.9
2024-07-31	15	15	374.85
2024-08-01	12	11	299.88
2024-08-02	8	8	199.92
2024-08-03	7	7	174.93
2024-08-04	8	8	199.92
2024-08-05	10	9	249.9
2024-08-06	17	15	424.83
2024-08-07	9	8	224.91
2024-08-08	9	9	224.91
2024-08-09	14	12	349.86
2024-08-10	9	9	224.91
2024-08-11	13	13	324.87
2024-08-12	11	11	274.89
2024-08-13	7	7	174.93
2024-08-14	14	13	349.86
2024-08-15	8	8	199.92
2024-08-16	6	6	149.94
2024-08-17	10	10	249.9
2024-08-18	6	6	149.94
2024-08-19	18	18	449.82
2024-08-20	13	13	324.87
2024-08-21	9	9	224.91
2024-08-22	10	10	249.9
2024-08-23	18	15	449.82
2024-08-24	7	7	174.93
2024-08-25	9	8	224.91
2024-08-26	9	9	224.91
2024-08-27	11	11	274.89
2024-08-28	15	12	374.85
2024-08-29	15	13	374.85
2024-08-30	7	7	174.93
2024-08-31	8	8	199.92
2024-09-01	10	10	249.9
2024-09-02	11	11	274.89
2024-09-03	11	9	274.89
2024-09-04	4	4	99.96
2024-09-05	13	11	324.87
2024-09-06	8	8	199.92
2024-09-07	4	4	99.96
2024-09-08	12	11	299.88
2024-09-09	18	16	449.82
2024-09-10	7	7	174.93
2024-09-11	8	7	199.92
2024-09-12	11	10	274.89
2024-09-13	6	6	149.94
2024-09-14	8	8	199.92
2024-09-15	13	12	324.87
2024-09-16	12	9	299.88
2024-09-17	4	4	99.96
2024-09-18	25	13	624.75
2024-09-19	11	10	274.89
2024-09-20	7	7	174.93
2024-09-21	8	8	199.92
2024-09-22	5	5	124.95
